Navi_result_ 1,Navi_result_ 2,Navi_result_ 3,Navi_result_ 4,Navi_result_ 5,Navi_result_ 6,Navi_result_ 7,Navi_result_ 8,Navi_result_ 9,Navi_result_10,Navi_result_11,Navi_result_12,Navi_result_13,Navi_result_14,Navi_result_15,Navi_result_16,Navi_result_17,Navi_result_18,Navi_result_19
79,0.059065308936867,0.156999040617703,-0.0118928949794948,-1.199460601498,0.230084060823488,-0.761574917300683,0.488754588932992,0.871641042058961,-2.28185248872783,0.00379327469333177,-0.000403460871919955,6.21719950293818e-05,0.00172496221050836,-0.000295129101010631,-0.0347445683694891,0,0,0
80,0.025046460145876,0.142095877024024,-0.0386459929190829,-1.19679869969502,0.239622539958248,-0.790250719383299,0.494892870475874,0.873010601355156,-2.0977656143472,0.00385064248833724,-0.000401284239503325,6.30148535612809e-05,0.00171072747667847,-0.000290192322667516,-0.0347765422795887,0,0,0
81,0.0405496726113244,0.143200559215487,-0.0225371239463329,-1.20878619229359,0.242284495530928,-0.807041395194788,0.489090648246923,0.886815510252954,-1.8739093503989,0.0039081061433736,-0.000403176309321291,6.38757997659312e-05,0.00170307936485806,-0.000285315289455331,-0.0347931521970231,0,0,0
82,0.0134100013721003,0.133841322451817,-0.0546681962632128,-1.19389974885564,0.249745979249552,-0.850474810598714,0.491514882682904,0.884975680539932,-1.79938818169721,0.00395986947795535,-0.000401543104763402,6.46656825528888e-05,0.00170324767044321,-0.000283552524994496,-0.0348368638352842,0,0,0
83,0.0310125553331493,0.130191558009929,-0.0166344787085434,-1.19394919001081,0.257481319827273,-0.857993512643977,0.481616322473142,0.880461692391374,-1.69914974624588,0.00400995167005898,-0.000405746519331572,6.54602733960316e-05,0.00170917521852327,-0.000282889358432277,-0.034847068443144,0,0,0
84,0.0373389621349694,0.133854132992475,-0.020160130617471,-1.20071071651751,0.259342716472964,-0.874346345716639,0.487639535219753,0.87491521692153,-1.76362236965837,0.00406015223817147,-0.000419240354263955,6.63615693029031e-05,0.0017213487648656,-0.000285660559766486,-0.034859708284285,0,0,0
85,0.0522713060240029,0.131280201531445,0.0083232327269716,-1.22182273092619,0.261794537220388,-0.869146024365557,0.480016197428124,0.876641745494695,-1.66083383364014,0.00410958272159899,-0.000430684660422046,6.71827310791605e-05,0.00173863826122341,-0.000288684072964955,-0.0348489160929271,0,0,0
86,0.0452787280649755,0.126181671204854,-0.00194942465969145,-1.23824667626593,0.266088798977064,-0.871750143572818,0.485161567974663,0.871868068298995,-1.7364530497382,0.00415562933777882,-0.000447283532643229,6.80356780075788e-05,0.00175957702841469,-0.000294810287835952,-0.0348463277718457,0,0,0
87,0.0394002891464145,0.11970527394103,-0.0118670451789468,-1.25242237240286,0.272658840365163,-0.88242558263,0.484975597584606,0.873732595651166,-1.75923803251981,0.0041987284180065,-0.000459580668437513,6.87997242123759e-05,0.00178329735933075,-0.000299878043312612,-0.0348512927695296,0,0,0
88,0.0329559655274088,0.119414566108027,-0.0255145619826319,-1.26208898538493,0.275020197811186,-0.902969385992979,0.474900751733352,0.87714259826883,-1.66087132715582,0.00424142166665073,-0.000463698585252646,6.94659599732402e-05,0.00180997528447949,-0.000303063204559159,-0.0348662378504362,0,0,0
89,0.0401174825214569,0.111861771561428,0.00532859111202094,-1.27882301266879,0.280008955139161,-0.899216277146578,0.473647305002944,0.872353949668565,-1.70453414487942,0.00428047748710601,-0.000477044922192715,7.01755944551179e-05,0.00183699898450169,-0.000311156803810615,-0.0348580541032269,0,0,0
90,0.0232557845464387,0.110500767550504,-0.0129213613034076,-1.2815826057988,0.28210193014111,-0.908401401868026,0.467887004811615,0.881545111226239,-1.60088210712716,0.00431869144753805,-0.000477801888540684,7.07516202161424e-05,0.00186593880336283,-0.000313367161271814,-0.0348630897905012,0,0,0
91,0.0571852827186515,0.109247352478546,0.0176949846385071,-1.31839700692638,0.281779955228649,-0.897025976111693,0.467278149368999,0.874093301485067,-1.70109681091001,0.00435584095306065,-0.000498998479710286,7.14830558965473e-05,0.00189599960421678,-0.000328762613085453,-0.0348463774220108,0,0,0
92,0.0111624916776853,0.101182845776904,-0.0135413231516343,-1.31655884044335,0.285226689069374,-0.914816365217267,0.461955574965332,0.878922553122931,-1.55946596171796,0.00438977428317283,-0.000494327118786431,7.19518970131593e-05,0.00192520843176016,-0.00032826003050242,-0.0348514834051371,0,0,0
